58:61:63:F4:A1:16,58:61:63:F4:A1:17,4A:DC:DF:CF:91:13,58:61:63:F3:A0:AF,58:61:63:F4:A1:70,58:61:63:F3:A0:AE,58:61:63:F4:49:AA,58:61:63:F4:A1:71,58:61:63:F4:3F:69,B0:C1:9E:F4:73:A8,B2:13:B1:7C:81:7E,FA:42:45:3F:9A:29,58:61:63:F3:A7:02,BE:81:9C:56:CF:70,9A:EE:90:0A:32:BA,58:61:63:F4:A0:E9,58:61:63:FB:BD:8E,58:61:63:FB:C8:EC,58:61:63:F4:3F:6A,DE:A2:D8:79:3B:A5,58:61:63:F3:A1:1C,20:B5:C6:65:64:54,58:61:63:F3:A7:03,58:61:63:FB:CC:8F,58:61:63:F3:A1:1D,58:61:63:F4:49:AB,90:70:BF:87:6B:88,58:61:63:FB:C8:ED,58:61:63:F3:A9:0B,58:61:63:F3:A8:48,58:61:63:FB:CE:C0,58:61:63:F3:8A:25,58:61:63:F3:A7:26,58:61:63:FB:BD:8F,72:77:03:A7:23:8F,52:5A:65:C9:82:33,58:61:63:F3:98:21,58:61:63:F4:A1:03,58:61:63:FB:C8:BD,E6:2A:BA:96:CF:D6,58:61:63:F4:A0:EA,7A:01:2A:21:04:F7,58:61:63:F4:A1:6C,58:61:63:F3:86:B0,58:61:63:FB:C3:4D,3A:2E:5B:1F:FC:98,label
-50.0,-50.0,-57.5,-60.0,-65.0,-65.5,-65.5,-65.5,-66.5,-67.5,-68.0,-69.0,-69.0,-69.0,-70.0,-70.5,-71.5,-71.5,-73.0,-75.0,-77.5,-80.0,-80.5,-80.5,-81.5,-81.5,-82.5,-82.5,-83.0,-83.0,-85.0,-85.0,-86.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-90.0,-90.0,-90.5,-90.5,-91.5,-92.5,Room 301
-50.0,-50.0,-57.5,-60.0,-65.0,-65.5,-65.5,-65.5,-66.5,-67.5,-68.0,-69.0,-69.0,-69.0,-70.0,-70.5,-71.5,-71.5,-73.0,-75.0,-77.5,-80.0,-80.5,-80.5,-81.5,-81.5,-82.5,-82.5,-83.0,-83.0,-85.0,-85.0,-86.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-88.0,-90.0,-90.0,-90.5,-90.5,-91.5,-92.5,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
-50.0,-50.0,-58.0,-60.0,-65.0,-62.5,-65.5,-65.0,-66.5,-73.0,-68.0,-71.5,-69.0,-64.0,-70.0,-70.5,-71.5,-71.5,-78.0,-75.0,-77.5,-77.5,-83.0,-81.5,-80.5,-82.5,-82.5,-85.0,-82.5,-85.0,-85.0,-80.5,-87.5,-88.0,-88.0,-88.0,-88.0,-88.0,-87.5,-89.0,-89.0,-90.5,-91.5,-92.5,-100.0,-100.0,Room 301
